director,Total_Peliculas,Duracion_Promedio,Duracion_Minima,Duracion_Maxima,Desviacion_Estandar,Varianza
Chris Sivertson,2,86.5,86,87,0.7071067811865476,0.5
Chris Smith,2,97.0,94,100,4.242640687119285,18.0
Chris Sparling,1,88.0,88,88,,
Chris Stokes,4,84.25,80,88,3.499999999999999,12.249999999999995
Chris Weitz,2,127.0,123,131,5.656854249492381,32.0
Christel Gibson,1,87.0,87,87,,
Christian Alvart,1,111.0,111,111,,
Christian Charles,1,81.0,81,81,,
Christian De Vita,1,90.0,90,90,,
Christian Ditter,1,103.0,103,103,,
Christian Duguay,1,117.0,117,117,,
Christian E. Christiansen,1,91.0,91,91,,
Christian Gudegast,1,140.0,140,140,,
Christian Schwochow,1,127.0,127,127,,
Christian Zübert,1,106.0,106,106,,
Christine Luby,1,92.0,92,92,,
Christophe Charrier,1,82.0,82,82,,
Christophe Honoré,1,133.0,133,133,,
Christopher Alender,1,90.0,90,90,,
Christopher Cain,1,107.0,107,107,,
Christopher Chambers,1,79.0,79,79,,
Christopher Guest,1,95.0,95,95,,
Christopher Louie,1,92.0,92,92,,
Christopher Martin,1,45.0,45,45,,
Christopher Murray,1,86.0,86,86,,
Christopher Nolan,1,148.0,148,148,,
Christopher Nolen,3,82.0,81,84,1.7320508075688772,3.0
Christopher Ray,1,88.0,88,88,,
Christopher Smith,2,100.0,97,103,4.242640687119285,18.0
Christopher Storer,1,59.0,59,59,,
Chuck Russell,1,91.0,91,91,,
Chun Wong,1,102.0,102,102,,
Chung Mong-hong,1,156.0,156,156,,
Ciarán Foy,2,97.5,97,98,0.7071067811865476,0.5
Claire McCarthy,1,106.0,106,106,,
Claire Scanlon,2,148.0,106,190,59.39696961966999,3528.0
Clara Martínez-Lázaro,1,91.0,91,91,,
Clarence Yiu-leung Fok,1,89.0,89,89,,
Clark Johnson,2,103.5,90,117,19.091883092036785,364.5
Claude Barras,1,68.0,68,68,,
Claude Lelouch,1,114.0,114,114,,
Clay Glen,4,92.75,88,97,4.031128874149275,16.25
Clay Kaytis,1,104.0,104,104,,
Clay Porter,1,53.0,53,53,,
Clay Staub,1,94.0,94,94,,
Clint Butler,1,26.0,26,26,,
Clint Eastwood,7,131.71428571428572,117,138,6.945365018348226,48.23809523809525
Clive Tonge,1,99.0,99,99,,
Clovis Cornillac,1,91.0,91,91,,
Cody Stokes,1,107.0,107,107,,
Colin Dench,1,64.0,64,64,,
Colin Minihan,1,99.0,99,99,,
Colin Teague,1,97.0,97,97,,
Colin Trevorrow,2,95.5,86,105,13.435028842544403,180.5
Conor Allyn,1,100.0,100,100,,
Conrad Helten,3,70.33333333333333,64,75,5.6862407030773285,32.33333333333335
Constance Marks,1,76.0,76,76,,
Cooper Karl,1,89.0,89,89,,
Corbin Bernsen,1,99.0,99,99,,
Corey Grant,1,95.0,95,95,,
Corey Yuen,1,89.0,89,89,,
Cory Edwards,1,92.0,92,92,,
Courtney Hunt,2,95.0,93,97,2.8284271247461903,8.0
Craig Anderson,1,81.0,81,81,,
Craig Brewer,3,117.0,116,118,1.0,1.0
Craig Elrod,1,86.0,86,86,,
Craig Freimond,1,94.0,94,94,,
Craig Gillespie,1,88.0,88,88,,
Craig Goodwill,1,84.0,84,84,,
Craig Johnson,1,100.0,100,100,,
Craig Moss,1,93.0,93,93,,
Cris D'Amato,1,105.0,105,105,,
Cristi Puiu,2,170.0,154,186,22.627416997969522,512.0
Cristina Jacob,4,114.5,105,125,9.146948489341494,83.66666666666663
Curro Velázquez,1,95.0,95,95,,
Curtis Graham,1,86.0,86,86,,
Curtis Hanson,1,111.0,111,111,,
Cyrus Nowrasteh,1,111.0,111,111,,
César Rodrigues,1,97.0,97,97,,
Cüneyt Kaya,1,95.0,95,95,,
D Ho,1,98.0,98,98,,
Dado C. Lumibao,1,106.0,106,106,,
Dallas Jackson,2,83.5,80,87,4.949747468305833,24.5
Dallas Jenkins,1,92.0,92,92,,
Damien Leone,1,84.0,84,84,,
Damien O’Connor,2,39.0,30,48,12.727922061357855,162.0
Damián Romay,2,86.5,86,87,0.7071067811865476,0.5
Damon Cardasis,1,83.0,83,83,,
Dan Forrer,1,83.0,83,83,,
Dan Gilroy,2,115.5,113,118,3.5355339059327378,12.5
Dan Harris,1,96.0,96,96,,
Dan Villegas,4,109.25,103,118,7.088723439378913,50.25
Dani Levy,1,91.0,91,91,,
Dani de la Orden,1,107.0,107,107,,
Dani de la Torre,1,126.0,126,126,,
Daniel Alfredson,2,92.5,90,95,3.5355339059327378,12.5
Daniel Benmayor,2,103.0,94,112,12.727922061357855,162.0
Daniel Burman,1,81.0,81,81,,
Daniel Calparsoro,2,101.5,93,110,12.020815280171307,144.5
Daniel Effiong,1,76.0,76,76,,
Daniel Espinosa,1,115.0,115,115,,
Daniel Goldhaber,1,95.0,95,95,,
Daniel Gordon,1,93.0,93,93,,
Daniel Gray Longino,2,49.5,32,67,24.748737341529164,612.5
Daniel Joseph,1,81.0,81,81,,
Daniel Lee,1,113.0,113,113,,
Daniel Mann,1,108.0,108,108,,
Daniel Markowicz,1,92.0,92,92,,
Daniel McCabe,1,53.0,53,53,,
Daniel Monzón,1,130.0,130,130,,
Daniel Noah,1,84.0,84,84,,
Daniel Oriahi,2,99.0,94,104,7.0710678118654755,50.0
Daniel Prochaska,1,100.0,100,100,,
Daniel Raim,1,95.0,95,95,,
Daniel Schechter,1,101.0,101,101,,
Daniel Stamm,2,90.5,88,93,3.5355339059327378,12.5
Daniel Sánchez Arévalo,1,100.0,100,100,,
Daniel Yee Heng Chan,1,109.0,109,109,,
Daniela Goggi,1,90.0,90,90,,
Daniele Thompson,1,114.0,114,114,,
Danish Aslam,1,108.0,108,108,,
Danishka Esterhazy,1,102.0,102,102,,
Danny Boyle,2,108.0,94,122,19.79898987322333,392.0
Danny J. Boyle,1,86.0,86,86,,
Danny Leiner,1,88.0,88,88,,
Dante Lam,3,124.33333333333333,110,139,14.502873278538063,210.33333333333337
Dar Gai,1,119.0,119,119,,
Dare Olaitan,1,108.0,108,108,,
Darren Grant,1,80.0,80,80,,
Darren Lynn Bousman,2,98.5,94,103,6.363961030678928,40.5
Daryl Hannah,1,74.0,74,74,,
Dash Shaw,1,77.0,77,77,,
Datta Mohan Bhandare,1,114.0,114,114,,
Dava Whisenant,1,87.0,87,87,,
Dave Green,1,91.0,91,91,,
Dave Higby,2,72.5,72,73,0.7071067811865476,0.5
Dave Patten,1,97.0,97,97,,
David Ayer,3,112.0,109,118,5.196152422706632,27.0
David Batty,3,140.33333333333334,55,205,77.10598766200543,5945.333333333333
David Blair,1,107.0,107,107,,
David Briggs,1,58.0,58,58,,
David Bruckner,1,95.0,95,95,,
David Chirchirillo,1,83.0,83,83,,
David Cronenberg,1,112.0,112,112,,
David Dhawan,9,138.66666666666666,121,158,13.21930406640228,174.74999999999986
David Dobkin,2,119.5,115,124,6.363961030678928,40.5
David E. Talbert,2,106.5,89,124,24.748737341529164,612.5
David Feiss,1,85.0,85,85,,
David Fincher,6,135.16666666666666,112,158,19.093628954880913,364.5666666666667
David Frankel,1,97.0,97,97,,
David Galán Galindo,1,97.0,97,97,,
David Gelb,1,79.0,79,79,,
David Gordon Green,2,104.5,97,112,10.606601717798213,112.5
David Grossman,1,87.0,87,87,,
David Guy Levy,1,93.0,93,93,,
David Hackl,1,90.0,90,90,,
David Hunt,1,131.0,131,131,,
David Koepp,1,94.0,94,94,,
David L. Cunningham,1,110.0,110,110,,
David L.G. Hughes,1,91.0,91,91,,
David LaChapelle,1,87.0,87,87,,
David Lam,1,95.0,95,95,,
David Lean,1,200.0,200,200,,
David Lee Miller,1,111.0,111,111,,
David Leveaux,1,107.0,107,107,,
David Lowery,1,92.0,92,92,,
David Lynch,1,17.0,17,17,,
David M. Rosenthal,2,101.5,90,113,16.263455967290593,264.5
David Mackenzie,3,110.0,102,122,10.583005244258363,112.0
David Marmor,1,90.0,90,90,,
David McCracken,1,98.0,98,98,,
David Michôd,3,122.33333333333333,103,141,19.008769905844336,361.33333333333326
David Mirkin,1,124.0,124,124,,
David Moreton,1,103.0,103,103,,
David Mrnka,1,124.0,124,124,,
David O. Russell,2,119.0,116,122,4.242640687119285,18.0
David Oelhoffen,1,112.0,112,112,,
David Oyelowo,1,92.0,92,92,,
David Pablos,2,103.0,99,107,5.656854249492381,32.0
David Paul Meyer,2,65.5,64,67,2.1213203435596424,4.5
David R. Ellis,3,87.66666666666667,82,91,4.93288286231625,24.333333333333353
David Raynr,1,104.0,104,104,,
David Sampliner,1,82.0,82,82,,
David Serrano,1,91.0,91,91,,
David Silberg,1,85.0,85,85,,
David Slade,1,124.0,124,124,,
David Soren,1,96.0,96,96,,
David Stubbs,1,90.0,90,90,,
David Wain,1,102.0,102,102,,
David Wnendt,1,116.0,116,116,,
David Zeiger,1,84.0,84,84,,
David Zucker,3,91.33333333333333,85,103,10.115993936995677,102.33333333333331
David de Vos,1,90.0,90,90,,
Davis Guggenheim,1,89.0,89,89,,
Dean Craig,1,101.0,101,101,,
Dean DeBlois,1,102.0,102,102,,
Dean Parisot,1,91.0,91,91,,
Dean Wright,1,145.0,145,145,,
Deane Taylor,1,91.0,91,91,,
Debaloy Dey,1,118.0,118,118,,
Debamitra Biswal,1,132.0,132,132,,
Debbie Allen,1,99.0,99,99,,
Debra Granik,1,100.0,100,100,,
Dee Rees,2,125.5,116,135,13.435028842544403,180.5
Deep Joshi,1,118.0,118,118,,
Deepa Mehta,1,109.0,109,109,,
Deepti Naval,1,121.0,121,121,,
Dejan Zečević,1,92.0,92,92,,
Demetri Martin,1,94.0,94,94,,
Denis Do,1,87.0,87,87,,
Denis Villeneuve,1,91.0,91,91,,
Deniz Gamze Ergüven,1,87.0,87,87,,
Dennie Gordon,2,98.0,91,105,9.899494936611665,98.0
Dennis Bartok,1,85.0,85,85,,
Dennis Dugan,4,99.5,89,113,10.754843869934453,115.66666666666667
Dennis Iliadis,1,96.0,96,96,,
Dennis Rovira van Boekholt,1,102.0,102,102,,
Derek Cianfrance,2,126.0,112,140,19.79898987322333,392.0
Derek Hui,1,107.0,107,107,,
Derek Peck,1,32.0,32,32,,
Derek Yee,1,108.0,108,108,,
Derick Cabrido,1,99.0,99,99,,
Desingh Periyasamy,1,160.0,160,160,,
Destin Daniel Cretton,1,97.0,97,97,,
Detlev Buck,5,104.2,97,107,4.086563348340509,16.699999999999996
Devashish Makhija,1,105.0,105,105,,
Devika Bhagat,1,135.0,135,135,,
Devin Chanda,1,52.0,52,52,,
Dhanush,1,124.0,124,124,,
Dharmendra Suresh Desai,1,141.0,141,141,,
Dharmesh Darshan,2,163.0,149,177,19.79898987322333,392.0
Dhilip Kumar,1,41.0,41,41,,
Dianne Dreyer,1,95.0,95,95,,
Dibakar Banerjee,4,115.75,109,124,6.652067347825035,44.25
Diego Cohen,1,75.0,75,75,,
Diego Kaplan,1,94.0,94,94,,
Diego Lerman,1,96.0,96,96,,
Diego Luna,1,97.0,97,97,,
Diego Pignataro,3,74.33333333333333,63,91,14.742229591663989,217.3333333333334
Digo Ricio,1,93.0,93,93,,
Dileep Narayanan,1,104.0,104,104,,
Dilip Mehta,1,83.0,83,83,,
Dimitri Logothetis,2,106.0,102,110,5.656854249492381,32.0
Ding Sheng,1,124.0,124,124,,
Ding-Lin Wang,1,95.0,95,95,,
Dino Risi,2,95.0,93,97,2.8284271247461903,8.0
Dito Montiel,1,90.0,90,90,,
Doesjka van Hoogdalem,1,86.0,86,86,,
Dolapo Adeleke,1,92.0,92,92,,
Domenico de Feudis,1,93.0,93,93,,
Dominic Sena,2,97.0,95,99,2.8284271247461903,8.0
Don Bluth,1,80.0,80,80,,
Don Mancini,1,90.0,90,90,,
Don Michael Paul,10,101.0,97,111,4.055175020198813,16.44444444444444
Don Omope,1,101.0,101,101,,
Donald Petrie,1,104.0,104,104,,
Donick Cary,1,86.0,86,86,,
Donovan Marsh,1,107.0,107,107,,
Dorian Fernández-Moris,1,87.0,87,87,,
Doug Hamilton,1,113.0,113,113,,
Doug Lefler,1,84.0,84,84,,
Douglas McGrath,1,89.0,89,89,,
Drake Doremus,3,103.33333333333333,91,117,13.051181300301261,170.33333333333331
Drew Casson,1,79.0,79,79,,
Drew Stone,1,78.0,78,78,,
Duncan Jones,2,112.0,97,127,21.213203435596427,450.0
Duncan McMath,1,109.0,109,109,,
Duncan Skiles,1,109.0,109,109,,
Dustin Hoffman,1,98.0,98,98,,
Dustin McKenzie,1,46.0,46,46,,
Dustin Nguyen,1,92.0,92,92,,
Dylan C. Brown,1,76.0,76,76,,
Dylan Mohan Gray,1,83.0,83,83,,
Ed Lilly,1,99.0,99,99,,
Eddie Martin,1,86.0,86,86,,
Eddie Mensore,1,83.0,83,83,,
Edgar Wright,1,112.0,112,112,,
Edoardo Ponti,1,95.0,95,95,,
Eduardo Casanova,1,78.0,78,78,,
Eduardo Mendoza de Echave,1,119.0,119,119,,
Eduardo Pinto,1,106.0,106,106,,
Eduardo Roy Jr.,2,110.5,107,114,4.949747468305833,24.5
Edward Cotterill,3,44.0,44,44,0.0,0.0
Edward Drake,1,88.0,88,88,,
Edward James Olmos,1,126.0,126,126,,
Edward Zwick,1,137.0,137,137,,
Edwin,2,104.0,102,106,2.8284271247461903,8.0
Eeshwar Nivas,1,162.0,162,162,,
Ekachai Uekrongtham,1,96.0,96,96,,
Ekene Som Mekwunye,1,105.0,105,105,,
Eleonore Pourriat,1,99.0,99,99,,
Eli Craig,2,92.0,89,95,4.242640687119285,18.0
Eli Roth,2,100.0,99,101,1.4142135623730951,2.0
Elisa Fuksas,1,79.0,79,79,,
Elisabeth Vogler,1,84.0,84,84,,
Elissa Down,1,110.0,110,110,,
Elite Zexer,1,88.0,88,88,,
Elizabeth Wood,1,90.0,90,90,,
Elle Callahan,1,90.0,90,90,,
Ellen Brown,1,30.0,30,30,,
Elliot Hegarty,1,87.0,87,87,,
Elliot Silverstein,1,96.0,96,96,,
Elvira Lind,1,99.0,99,99,,
Emanuel Hoss-Desmarais,1,88.0,88,88,,
Emcy Joseph,1,120.0,120,120,,
Emil Ben-Shimon,1,100.0,100,100,,
Emilio Martínez Lázaro,1,107.0,107,107,,
Emily Hagins,1,98.0,98,98,,
Emir Kusturica,1,73.0,73,73,,
Emma Hatherley,1,52.0,52,52,,
Emma Tammi,1,88.0,88,88,,
Emmanuel Mouret,1,111.0,111,111,,
Emmett Malloy,1,98.0,98,98,,
Enah Johnscott,1,143.0,143,143,,
Eric Aghimien,1,115.0,115,115,,
Eric Bress,1,95.0,95,95,,
Eric Bross,1,86.0,86,86,,
Eric D. Cabello Díaz,1,87.0,87,87,,
Eric Idle,1,137.0,137,137,,
Eric Khoo,1,90.0,90,90,,
Eric Laneuville,1,94.0,94,94,,
Eric Meza,1,94.0,94,94,,
Eric Notarnicola,1,52.0,52,52,,
Eric Stoltz,1,103.0,103,103,,
Eric Zaragosa,1,89.0,89,89,,
Erik Canuel,2,105.5,94,117,16.263455967290593,264.5
Erik Matti,1,128.0,128,128,,
Erik White,1,91.0,91,91,,
Ernie Barbarash,4,99.5,86,115,13.025615788386615,169.66666666666666
Erol Özlevi,1,105.0,105,105,,
Errol Morris,2,89.5,76,103,19.091883092036785,364.5
Ertanto Robby Soediskam,1,73.0,73,73,,
Erwin van den Eshof,2,81.5,81,82,0.7071067811865476,0.5
Esteban Crespo,2,110.0,104,116,8.48528137423857,72.0
Esteban Sapir,1,99.0,99,99,,
Esteban Vidal,2,91.0,91,91,0.0,0.0
Ethan Hawke,1,129.0,129,129,,
Eugenio Derbez,1,122.0,122,122,,
Eva Orner,1,86.0,86,86,,
Eva Trobisch,1,90.0,90,90,,
Eva Vives,1,101.0,101,101,,
Evan Katz,1,95.0,95,95,,
Eylem Kaftan,1,93.0,93,93,,
Ezekiel Norton,2,77.5,75,80,3.5355339059327378,12.5
Fabrice Du Welz,1,103.0,103,103,,
Fajar Bustomi,1,116.0,116,116,,
Faozan Rizal,1,125.0,125,125,,
Faraday Okoro,1,104.0,104,104,,
Farah Khan,4,161.0,125,179,24.385788210895843,594.6666666666666
Farah Nabulsi,1,24.0,24,24,,
Faraz Haider,1,109.0,109,109,,
Farhad Safinia,1,125.0,125,125,,
Farhan Akhtar,4,171.75,148,185,17.53805386390786,307.5833333333334
Farhan Alam,1,128.0,128,128,,
Faris Godus,1,120.0,120,120,,
Fazila Allana,1,63.0,63,63,,
Federico D'Alessandro,1,98.0,98,98,,
Federico Veiroj,2,77.0,74,80,4.242640687119285,18.0
Felix Binder,1,93.0,93,93,,
Felix Chong,1,95.0,95,95,,
Felix Starck,1,85.0,85,85,,
Felix Thompson,1,81.0,81,81,,
Fellipe Barbosa,1,132.0,132,132,,
Feng Xiaogang,1,139.0,139,139,,
Ferdinando Cito Filomarino,1,110.0,110,110,,
Fernando Ayllón,6,86.33333333333333,59,97,13.662601021279464,186.66666666666666
Fernando Coimbra,1,113.0,113,113,,
Fernando Colomo,1,91.0,91,91,,
Fernando Frías De La Parra,1,84.0,84,84,,
Fernando Frías de la Parra,1,112.0,112,112,,
Fernando González Molina,4,138.25,121,163,18.246004128758347,332.9166666666667
Fernando Lebrija,1,99.0,99,99,,
Fernando Meirelles,1,126.0,126,126,,
Feroz,1,125.0,125,125,,
Ferzan Özpetek,1,110.0,110,110,,
Filip Renc,1,110.0,110,110,,
Filip Zylber,1,102.0,102,102,,
Fisher Stevens,1,97.0,97,97,,
Florent Bodin,2,97.5,96,99,2.1213203435596424,4.5
Floria Sigismondi,1,107.0,107,107,,
Florian Gallenberger,1,110.0,110,110,,
Florian Henckel von Donnersmarck,2,120.5,103,138,24.748737341529164,612.5
Florian Schnell,1,89.0,89,89,,
Florian Schott,1,29.0,29,29,,
Floyd Russ,1,12.0,12,12,,
Francesco Amato,1,114.0,114,114,,
Francesco Carnesecchi,1,97.0,97,97,,
Francesco Imperato,2,59.0,53,65,8.48528137423857,72.0
Francesco Lettieri,1,109.0,109,109,,
Francine Parker,1,104.0,104,104,,
Francis Ford Coppola,1,136.0,136,136,,
Francis Lee,1,105.0,105,105,,
Francis Whately,1,90.0,90,90,,
Francisco D'Eufemia,1,81.0,81,81,,
Franck Nataf,1,95.0,95,95,,
Franck Phelizon,1,93.0,93,93,,
Franck Ribière,1,102.0,102,102,,
Frank Ariza,1,81.0,81,81,,
Frank Coraci,3,106.0,90,120,15.0996688705415,228.0
Frank Marshall,1,108.0,108,108,,
Frank Oz,2,110.0,96,124,19.79898987322333,392.0
Frank Rajah Arase,1,141.0,141,141,,
Frank W Chen,1,98.0,98,98,,
Frant Gwo,1,125.0,125,125,,
Franziska Meyer Price,1,82.0,82,82,,
Frasco Mortiz,1,106.0,106,106,,
Fred Cavayé,1,94.0,94,94,,
Fred Durst,1,95.0,95,95,,
Fred M. Wilcox,1,98.0,98,98,,
Fred Olen Ray,1,86.0,86,86,,
Fred Wolf,1,97.0,97,97,,
Fritz Böhm,1,93.0,93,93,,
Frédéric Tonolli,1,53.0,53,53,,
Fumihiko Sori,1,134.0,134,134,,
Fuwad Khan,1,127.0,127,127,,
G.J. Echternkamp,2,91.0,89,93,2.8284271247461903,8.0
Gabe Ibáñez,1,110.0,110,110,,
Gabe Klinger,1,77.0,77,77,,
Gabriel Grieco,1,84.0,84,84,,
Gabriela García Rivas,1,95.0,95,95,,
Gabriela Tagliavini,1,79.0,79,79,,
Gabriele Muccino,3,115.33333333333333,106,123,8.621678104251709,74.33333333333334
Gaby Dellal,1,92.0,92,92,,
Gafoor Y. Elliyaas,1,109.0,109,109,,
Gagan Puri,1,114.0,114,114,,
Gail Willumsen,1,53.0,53,53,,
Gajendra Ahire,2,109.0,92,126,24.041630560342615,578.0
Ganesh Kadam,1,116.0,116,116,,
Gangadhar Salimath,1,112.0,112,112,,
Gareth Evans,2,121.0,112,130,12.727922061357855,162.0
Garin Nugroho,1,86.0,86,86,,
Garry Marshall,3,119.66666666666667,116,125,4.72581562625261,22.333333333333346
Garth Davis,1,120.0,120,120,,
Gary Andrews,1,61.0,61,61,,
Gary Binkow,1,45.0,45,45,,
Gary David Goldberg,1,117.0,117,117,,
Gary Fleder,2,108.0,100,116,11.313708498984761,128.0
Gary Mak,1,96.0,96,96,,
Gary Michael Schultz,1,101.0,101,101,,
Gary Ross,2,140.0,139,141,1.4142135623730951,2.0
Gary Stretch,1,104.0,104,104,,
Gary Wang,1,86.0,86,86,,
Gary Wheeler,1,88.0,88,88,,
Gary Winick,1,105.0,105,105,,
Gary Young,1,80.0,80,80,,
Gaspar Antillo,1,92.0,92,92,,
Gastón Duprat,1,105.0,105,105,,
Gaurav Bavdankar,1,134.0,134,134,,
Gaurav Narayanan,1,141.0,141,141,,
Gauravv K Chawla,1,136.0,136,136,,
Gauri Shinde,1,149.0,149,149,,
Gautier & Leduc,1,54.0,54,54,,
Gavin Fitzgerald,1,90.0,90,90,,
Gavin O'Connor,1,136.0,136,136,,
Gayane Petrosyan,1,74.0,74,74,,
Geetu Mohandas,1,104.0,104,104,,
Genevieve Nnaji,1,95.0,95,95,,
Genndy Tartakovsky,1,97.0,97,97,,
Geoff Anderson,1,88.0,88,88,,
George C. Wolfe,2,95.5,94,97,2.1213203435596424,4.5
George Clooney,2,106.0,93,119,18.384776310850235,338.0
George Cukor,1,173.0,173,173,,
George Gallo,1,113.0,113,113,,
George Mendeluk,1,89.0,89,89,,
George Miller,1,93.0,93,93,,
George Nolfi,1,96.0,96,96,,
George Ratliff,1,97.0,97,97,,
Georges Hachem,1,76.0,76,76,,
Gerard Barrett,1,89.0,89,89,,
Gerard McMurray,1,102.0,102,102,,
Gerardo Gatica,1,97.0,97,97,,
Gerardo Olivares,2,107.5,105,110,3.5355339059327378,12.5
Gerry Hoban,1,53.0,53,53,,
Geun-hyun Cho,1,135.0,135,135,,
Giancarlo Esposito,1,105.0,105,105,,
Gianfranco Rosi,1,114.0,114,114,,
Gideon Raff,1,130.0,130,130,,
Gil Baroni,1,87.0,87,87,,
Gil Kenan,1,91.0,91,91,,
Gilbert Chan,1,78.0,78,78,,
Gilles Paquet-Brenner,2,107.5,102,113,7.7781745930520225,60.5
Gillian Armstrong,1,93.0,93,93,,
Gillian Robespierre,2,75.5,67,84,12.020815280171307,144.5
Gina Prince-Bythewood,1,126.0,126,126,,
Girish Joshi,1,115.0,115,115,,
Girish Malik,2,132.5,132,133,0.7071067811865476,0.5
Gitanjali Rao,1,97.0,97,97,,
Giulia Clark,1,54.0,54,54,,
Giulio Base,1,88.0,88,88,,
Glen Keane,1,100.0,100,100,,
Glendyn Ivin,1,95.0,95,95,,
Glenn Miller,1,86.0,86,86,,
Gonzalo Bendala,1,96.0,96,96,,
Gonzalo López-Gallego,3,95.33333333333333,87,102,7.637626158259734,58.33333333333334
Gordon Chan,1,129.0,129,129,,
Gordon Parks,1,91.0,91,91,,
Gore Verbinski,2,113.0,110,116,4.242640687119285,18.0
Graham Townsley,1,53.0,53,53,,
Grant Heslov,1,94.0,94,94,,
Grant Singer,1,83.0,83,83,,
Grant Sputore,1,114.0,114,114,,
Greg Barker,1,119.0,119,119,,
Greg Berlanti,1,115.0,115,115,,
Greg Coolidge,1,108.0,108,108,,
Greg MacGillivray,2,42.0,42,42,0.0,0.0
Greg McLean,1,92.0,92,92,,
Greg Mottola,1,113.0,113,113,,
Greg Pritikin,1,99.0,99,99,,
Greg Richardson,1,22.0,22,22,,
Greg Whiteley,1,93.0,93,93,,
Gregg Bishop,1,83.0,83,83,,
Gregory Caruso,1,83.0,83,83,,
Gregory Hoblit,4,114.75,91,131,17.48094200360305,305.5833333333334
Gregory Jacobs,1,60.0,60,60,,
Gregory Nava,1,116.0,116,116,,
Gregory Plotkin,1,89.0,89,89,,
Greta Gerwig,1,94.0,94,94,,
Griffin Dunne,1,98.0,98,98,,
Guilherme Fontes,1,105.0,105,105,,
Guillaume Pierret,1,93.0,93,93,,
Guillermo del Toro,3,120.0,119,122,1.7320508075688772,3.0
Gulzar,1,115.0,115,115,,
Guntur Soeharjanto,1,127.0,127,127,,
Guo Jingming,1,133.0,133,133,,
Gupse Özay,1,102.0,102,102,,
Gurinder Chadha,1,106.0,106,106,,
Gurmmeet Singh,1,96.0,96,96,,
Gurudev Bhalla,1,148.0,148,148,,
Gurvinder Singh,1,116.0,116,116,,
Gus Van Sant,2,119.5,111,128,12.020815280171307,144.5
Guy Ritchie,2,118.0,108,128,14.142135623730951,200.0
Habib Faisal,1,106.0,106,106,,
Hadi El Bagoury,2,83.0,73,93,14.142135623730951,200.0
Hadrah Daeng Ratu,1,113.0,113,113,,
Haifaa Al-Mansour,2,96.0,93,99,4.242640687119285,18.0
Haile Gerima,1,125.0,125,125,,
Haissam Hussain,1,149.0,149,149,,
Hajime Kamegaki,2,94.0,93,95,1.4142135623730951,2.0
Hakan Algül,8,101.0,93,106,4.000000000000001,16.00000000000001
Hakan Yonat,1,105.0,105,105,,
Halder Gomes,1,80.0,80,80,,
Halitha Shameem,2,142.0,133,151,12.727922061357855,162.0
Hallie Meyers-Shyer,1,97.0,97,97,,
Hallvard Bræin,1,101.0,101,101,,
Ham Tran,1,116.0,116,116,,
Hamad AlSarraf,1,94.0,94,94,,
Hamisha Daryani Ahuja,1,107.0,107,107,,
Han Han,1,98.0,98,98,,
Han Yan,1,130.0,130,130,,
Handan İpekçi,1,115.0,115,115,,
Hang-Jun Jang,1,109.0,109,109,,
Hani Al-Shaibani,1,80.0,80,80,,
Hani Hamdi,2,87.5,84,91,4.949747468305833,24.5
Hannah Fidell,2,85.5,80,91,7.7781745930520225,60.5
Hannes Stöhr,1,105.0,105,105,,
Hanno Olderdissen,1,110.0,110,110,,
Hans Petter Moland,1,117.0,117,117,,
Hanung Bramantyo,6,135.16666666666666,102,180,26.82101166374353,719.3666666666666
Harald Zwart,1,130.0,130,130,,
Hardik Mehta,2,119.0,105,133,19.79898987322333,392.0
Hari Nath,1,132.0,132,132,,
Hari Viswanath,1,83.0,83,83,,
Harjit Singh,1,124.0,124,124,,
Hark Tsui,1,132.0,132,132,,
Harmony Korine,1,94.0,94,94,,
Harold Becker,1,89.0,89,89,,
Harold Cronk,2,112.0,111,113,1.4142135623730951,2.0
Harrison Smith,1,88.0,88,88,,
Harry Baweja,1,126.0,126,126,,
Harry Bradbeer,1,124.0,124,124,,
Harry Chaskin,1,14.0,14,14,,
Harshavardhan Kulkarni,1,140.0,140,140,,
Haruka Fujita,1,91.0,91,91,,
Harvey Lilley,1,113.0,113,113,,
Harvey Lowry,2,107.5,103,112,6.363961030678928,40.5
Hasan Karacadağ,3,140.33333333333334,133,153,11.0151410945722,121.33333333333324
Hashim Nadeem Khan,1,88.0,88,88,,
Hasraf Dulull,1,95.0,95,95,,
Hassan AbdulSalam,1,195.0,195,195,,
Hatem Khraiche,1,95.0,95,95,,
Hayao Miyazaki,1,100.0,100,100,,
Hayden Guppy,1,62.0,62,62,,
Heber Cannon,1,99.0,99,99,,
Heidi Saman,1,80.0,80,80,,
Heitor Dhalia,1,92.0,92,92,,
Helena Bergström,1,111.0,111,111,,
Hemambar Jasti,1,131.0,131,131,,
Henri Wong,1,104.0,104,104,,
Henrik Martin Dahlsbakken,1,77.0,77,77,,
Henrik Ruben Genz,1,90.0,90,90,,
Henry Hathaway,1,128.0,128,128,,
Henry Sarwer-Foner,1,44.0,44,44,,
Henry Selick,1,101.0,101,101,,
Hepi Mita,1,88.0,88,88,,
Herman Yau,2,92.0,92,92,0.0,0.0
Hideaki Anno,1,69.0,69,69,,
Hidenori Inoue,1,181.0,181,181,,
Hidetaka Inazuka,1,53.0,53,53,,
Hikari,1,116.0,116,116,,
Hiromasa Yonebayashi,1,103.0,103,103,,
Hiroshi Katagiri,1,107.0,107,107,,
Hirotsugu Kawasaki,1,97.0,97,97,,
